instrument,direction,qty,entry_ms,exit_ms,holding_ms,entry_price,exit_price,gross_pnl,fees,pnl,entry_fill_id,exit_fill_id,entry_decision_id,exit_decision_id,entry_reason,exit_reason
MSTR,long,60.0,1710869460000,1710869820000,360000,143.4,142.0,-84.0,3.7965312000000004,-87.7965312,f-0510,f-0511,,,,
MSTR,long,62.0,1710943260000,1710943620000,360000,138.02,141.03,186.62,3.836344351600001,182.78365564839999,f-0512,f-0513,,,,
MSTR,long,60.0,1710950460000,1710950820000,360000,140.73,142.33,96.0,3.7656839880000006,92.234316012,f-0514,f-0515,,,,
MSTR,long,62.0,1710957660000,1710958020000,360000,142.54,146.15,223.82,3.968487878000001,219.851512122,f-0516,f-0517,,,,
MSTR,long,54.0,1711042260000,1711042680000,420000,166.12,166.67,29.7,3.9826155708000006,25.7173844292,f-0518,f-0519,,,,
MSTR,long,43.0,1711044060000,1711044420000,360000,161.5,160.9,-25.8,3.0725415220000003,-28.872541522,f-0520,f-0521,,,,
MSTR,long,56.0,1711047660000,1711048020000,360000,160.0,161.08,60.48,3.985207788800001,56.4947922112,f-0522,f-0523,,,,
LULU,long,22.0,1711128660000,1711128780000,120000,406.5,407.36,18.92,3.961833955200001,14.958166044799999,f-0524,f-0525,,,,
MSTR,long,60.0,1711132260000,1711132620000,360000,153.0,154.11,66.6,4.084599996000001,62.515400004,f-0526,f-0527,,,,
MSTR,long,50.0,1711465260000,1711465620000,360000,184.86,185.33,23.5,4.100928990000001,19.39907101,f-0528,f-0529,,,,
MSTR,long,28.0,1711474260000,1711474620000,360000,186.7,186.96,7.28,2.3179894528000005,4.962010547199999,f-0530,f-0531,,,,
MSTR,long,49.0,1711553460000,1711553820000,360000,190.66,191.43,37.73,4.147808144200002,33.5821918558,f-0532,f-0533,,,,
MSTR,long,49.0,1711562460000,1711562820000,360000,189.8,190.78,48.02,4.1314647332000005,43.8885352668,f-0534,f-0535,,,,
MSTR,long,48.0,1711634460000,1711634820000,360000,193.79,191.8,-95.52,4.100155584000001,-99.620155584,f-0536,f-0537,,,,
MSTR,long,51.0,1711638060000,1711638420000,360000,183.1,175.37,-394.23,4.050402772200001,-398.2804027722,f-0538,f-0539,,,,
